Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41
com.samsung.shealth.sleep;6261011;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
original_efficiency;mental_recovery;factor_01;factor_02;factor_03;factor_04;factor_05;factor_06;factor_07;factor_08;factor_09;factor_10;has_sleep_data;combined_id;sleep_type;data_version;physical_recovery;original_wake_up_time;movement_awakening;original_bed_time;goal_bed_time;quality;extra_data;goal_wake_up_time;sleep_cycle;efficiency;sleep_score;sleep_duration;com.samsung.health.sleep.create_sh_ver;com.samsung.health.sleep.start_time;com.samsung.health.sleep.custom;com.samsung.health.sleep.modify_sh_ver;com.samsung.health.sleep.update_time;com.samsung.health.sleep.create_time;com.samsung.health.sleep.time_offset;com.samsung.health.sleep.deviceuuid;com.samsung.health.sleep.comment;com.samsung.health.sleep.pkg_name;com.samsung.health.sleep.end_time;com.samsung.health.sleep.datauuid;
;41.0;20;31;10;19;66;528;199;3;50;0;0;;;3;63.0;;27.0;;;;b7d8eb71-8f6f-4cbd-a7cf-a608e0d68f1c.extra_data.json;;4;87.0;58;528;;2023-02-18 02:37:00.000;;;2023-02-18 11:26:28.869;2023-02-18 11:26:10.127;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-18 11:25:00.000;b7d8eb71-8f6f-4cbd-a7cf-a608e0d68f1c;
;82.0;25;25;12;3;57;451;149;1;39;0;0;;;3;57.0;;29.0;;;;f7276ab0-4594-4409-bef8-0faa47884afb.extra_data.json;;5;87.0;71;451;;2023-02-19 03:51:00.000;;;2023-02-19 11:44:27.302;2023-02-19 11:41:16.435;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-19 11:22:00.000;f7276ab0-4594-4409-bef8-0faa47884afb;
;56.0;67;80;3;24;54;439;168;1;32;0;0;;;3;78.0;;21.0;;;;ed789e16-8026-4421-a773-065fbbd1c1e2.extra_data.json;;4;87.0;71;439;;2023-02-20 03:27:00.000;;;2023-02-20 10:54:06.933;2023-02-20 10:51:19.692;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-20 10:46:00.000;ed789e16-8026-4421-a773-065fbbd1c1e2;
;54.0;45;76;12;21;63;466;162;2;45;0;0;;;3;74.0;;31.0;;;;0abdd7b1-f090-410e-bd32-b0345252cbcd.extra_data.json;;5;86.0;64;466;;2023-02-21 03:07:00.000;;;2023-02-21 11:17:27.387;2023-02-21 11:12:03.475;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-21 10:53:00.000;0abdd7b1-f090-410e-bd32-b0345252cbcd;
;45.0;56;56;6;25;84;517;138;2;55;0;0;;;3;79.0;;31.0;;;;40816ca4-745e-4eda-b581-f0c9e561acbd.extra_data.json;;4;83.0;66;517;;2023-02-22 01:49:00.000;;;2023-02-22 10:41:30.253;2023-02-22 10:41:15.208;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-22 10:26:00.000;40816ca4-745e-4eda-b581-f0c9e561acbd;
;83.0;28;41;32;7;62;424;143;0;31;0;0;;;3;60.0;;44.0;;;;81cd21f4-9c65-489c-bee7-1f4bc043330c.extra_data.json;;4;85.0;69;424;;2023-02-23 03:29:00.000;;;2023-02-23 10:33:27.869;2023-02-23 10:33:14.032;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-23 10:33:00.000;81cd21f4-9c65-489c-bee7-1f4bc043330c;
;52.0;2;11;4;13;50;495;76;3;28;0;0;;;3;53.0;;21.0;;;;9ad44eec-469f-46bd-9316-4161d4583b53.extra_data.json;;5;89.0;66;495;;2023-02-24 02:20:00.000;;;2023-02-24 10:35:24.795;2023-02-24 10:35:11.485;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-24 10:35:00.000;9ad44eec-469f-46bd-9316-4161d4583b53;
;56.0;11;27;7;19;87;490;98;2;63;0;0;;;3;59.0;;38.0;;;;4b1dcf04-9ab3-43e2-ba48-2be63d51d96c.extra_data.json;;5;82.0;65;490;;2023-02-25 03:21:00.000;;;2023-02-25 11:36:57.869;2023-02-25 11:36:50.317;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-25 11:31:00.000;4b1dcf04-9ab3-43e2-ba48-2be63d51d96c;
;83.0;48;63;11;7;36;437;195;0;9;0;0;;;3;68.0;;16.0;;;;64638873-2380-49f0-a9c6-5549aaceae1b.extra_data.json;;4;91.0;77;437;;2023-02-26 03:51:00.000;;;2023-02-26 11:08:34.777;2023-02-26 11:08:21.650;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-26 11:08:00.000;64638873-2380-49f0-a9c6-5549aaceae1b;
;41.0;13;13;46;19;83;428;249;3;63;0;0;;;3;48.0;;53.0;;;;2c1c9869-2ac5-43be-90b0-5aa77776533c.extra_data.json;;4;80.0;54;428;;2023-02-27 03:15:00.000;;;2023-02-27 10:27:13.343;2023-02-27 10:26:51.801;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-27 10:23:00.000;2c1c9869-2ac5-43be-90b0-5aa77776533c;
