Valor Real,Predição,Erro Absoluto
2873590.0,2317329.3955784733,556260.6044215267
3667285.0,2317329.624078076,1349955.3759219241
2636142.0,2317329.076338903,318812.92366109695
1206672.0,2317330.4802896157,1110658.4802896157
1814045.0,2317325.512862649,503280.5128626488
3967673.0,2317330.9466247857,1650342.0533752143
4216625.0,2317330.740988726,1899294.2590112742
2239536.0,2317326.2777277594,77790.27772775944
1673948.0,2317331.0656330665,643383.0656330665
2571863.0,2317328.9086160413,254534.0913839587
2363772.0,2317327.6840169323,46444.31598306773
1790342.0,2317325.504413637,526983.5044136369
2297560.0,2317325.9107995294,19765.910799529403
3663717.0,2317329.4394084853,1346387.5605915147
2752245.0,2317331.2175430036,434913.7824569964
3013694.0,2317328.8744538836,696365.1255461164
2811292.0,2317327.3174955184,493964.68250448164
2508986.0,2317330.0045721903,191655.99542780966
2028895.0,2317323.6952561648,288428.69525616476
