Valor Real,Predição,Erro Absoluto
2873590.0,2469831.9953149464,403758.0046850536
3667285.0,3708033.9083324284,40748.90833242843
2636142.0,2842184.768057159,206042.76805715915
1206672.0,1512146.4391490375,305474.43914903747
1814045.0,1896893.3184358675,82848.31843586755
3967673.0,4023401.0932326727,55728.09323267266
4216625.0,4095993.485487227,120631.51451277314
2239536.0,2292106.534847553,52570.53484755289
1673948.0,1741415.2579545309,67467.25795453088
2571863.0,2557267.0406571697,14595.959342830349
2363772.0,2360117.3101487486,3654.689851251431
1790342.0,2043693.133407506,253351.13340750593
2297560.0,2599209.3210480553,301649.3210480553
3663717.0,3750475.9611061686,86758.96110616857
2752245.0,2994346.780677509,242101.78067750903
3013694.0,3183892.769712342,170198.76971234195
2811292.0,2837018.555963472,25726.555963471998
2508986.0,2239155.7613079394,269830.2386920606
2028895.0,2110972.4730309104,82077.47303091036
