Valor Real,Predição,Erro Absoluto
2873590.0,2460414.374068508,413175.6259314921
3667285.0,3698988.682021818,31703.682021818124
2636142.0,2827675.7084887493,191533.70848874934
1206672.0,1490601.4152033757,283929.41520337574
1814045.0,1898587.1614143262,84542.16141432617
3967673.0,4009826.564250887,42153.564250886906
4216625.0,4108647.459331756,107977.54066824401
2239536.0,2296406.5252391505,56870.525239150506
1673948.0,1757836.0265305303,83888.0265305303
2571863.0,2564443.672953276,7419.327046724036
2363772.0,2372941.079977532,9169.079977531917
1790342.0,2023717.007249877,233375.0072498771
2297560.0,2601072.0404996164,303512.0404996164
3663717.0,3721215.862280847,57498.86228084704
2752245.0,2981276.0179430405,229031.01794304047
3013694.0,3189682.360793136,175988.36079313606
2811292.0,2827287.1995742084,15995.199574208353
2508986.0,2232607.0184689863,276378.98153101373
2028895.0,2121267.087461975,92372.08746197494
