Valor Real,Predição,Erro Absoluto
2873590.0,2320958.98,552631.02
3667285.0,3714497.92,47212.919999999925
2636142.0,2848528.53,212386.5299999998
1206672.0,1583926.8,377254.80000000005
1814045.0,1856596.31,42551.310000000056
3967673.0,3927957.83,39715.169999999925
4216625.0,3878111.29,338513.70999999996
2239536.0,2241636.23,2100.2299999999814
1673948.0,1766896.89,92948.8899999999
2571863.0,2675583.07,103720.06999999983
2363772.0,2368294.33,4522.3300000000745
1790342.0,1874254.71,83912.70999999996
2297560.0,2654498.17,356938.1699999999
3663717.0,3806262.26,142545.25999999978
2752245.0,3058085.82,305840.81999999983
3013694.0,3182530.18,168836.18000000017
2811292.0,2934680.8,123388.79999999981
2508986.0,2201079.62,307906.3799999999
2028895.0,2029413.46,518.4599999999627
