Valor Real,Predição,Erro Absoluto
1222000.0,1213164.9572233295,8835.04277667054
615491.0,632095.7706974929,16604.770697492873
615491.0,646132.1027512931,30641.102751293103
58465.0,80217.16455877513,21752.164558775126
58465.0,78344.36700165775,19879.367001657753
1209356.0,1220254.150056695,10898.1500566951
1209356.0,1220491.018261305,11135.018261305057
1218271.0,1222858.276264094,4587.276264094049
1217117.0,1210654.0466846428,6462.953315357212
1206563.0,1232131.167841243,25568.167841243092
1208511.0,1218961.6044062988,10450.604406298837
1191628.0,1205691.5187428612,14063.518742861226
909600.0,947448.1652254226,37848.16522542259
1207867.0,1219358.631021489,11491.631021488924
299856.0,325824.27589237696,25968.275892376958
1089775.0,1198949.2712015011,109174.27120150113
1206273.0,1220198.1696581624,13925.169658162398
1211215.0,1197027.942885882,14187.057114118012
614187.0,649831.289297584,35644.28929758398
614187.0,650719.263163392,36532.26316339197
1216512.0,1206181.1981662388,10330.801833761157
1216512.0,1198976.0348594706,17535.965140529443
1199973.0,1198976.0348594706,996.9651405294426
1199973.0,1199854.384206862,118.61579313804395
1202395.0,1223328.1650873232,20933.16508732317
1202395.0,1216687.172123693,14292.17212369293
1202395.0,1223328.1650873232,20933.16508732317
917460.0,937779.2057061687,20319.205706168665
1745565.0,1749174.488880445,3609.4888804450165
1745565.0,1747840.6693464236,2275.669346423587
789161.0,950548.6904312841,161387.69043128414
1214499.0,1205424.7659195492,9074.234080450842
1214499.0,1210101.5223834869,4397.477616513148
1217110.0,1214996.1721501937,2113.8278498062864
1644303.0,1622973.8462663179,21329.15373368212
1644303.0,1618644.3064677694,25658.693532230565
1213903.0,1219358.631021489,5455.631021488924
1227952.0,1217390.9607568264,10561.039243173553
1227952.0,1218712.80696664,9239.193033359945
847517.0,852720.722471573,5203.722471573041
1237499.0,1242586.113976667,5087.113976666937
1220790.0,1213202.8799037514,7587.120096248575
884885.0,931599.3928872732,46714.39288727322
