Valor Real,Predição,Erro Absoluto
1222000.0,832710.0064975916,389289.9935024084
615491.0,832710.6452719728,217219.64527197275
615491.0,832713.0042553965,217222.00425539655
58465.0,832706.96574293,774241.96574293
58465.0,832709.2613545385,774244.2613545385
1209356.0,832711.266712089,376644.73328791105
1209356.0,832713.1948400013,376642.8051599987
1218271.0,832709.9399323334,385561.0600676666
1217117.0,832709.7725439928,384407.22745600715
1206563.0,832720.6314374711,373842.36856252886
1208511.0,832710.6942458637,375800.3057541363
1191628.0,832709.2375697629,358918.76243023714
909600.0,832710.0333048071,76889.96669519285
1207867.0,832710.4464044535,375156.5535955465
299856.0,832689.6756185557,532833.6756185557
1089775.0,832709.9279747283,257065.07202527171
1206273.0,832711.3009151137,373561.69908488635
1211215.0,832710.9868196711,378504.0131803289
614187.0,832710.8271680037,218523.82716800366
614187.0,832712.9837198794,218525.9837198794
1216512.0,832709.8763665796,383802.12363342044
1216512.0,832711.9275856115,383800.07241438853
1199973.0,832711.6693943935,367261.33060560655
1199973.0,832712.7063915873,367260.2936084127
1202395.0,832712.0285980483,369682.97140195174
1202395.0,832711.7509816213,369683.2490183787
1202395.0,832712.1437820271,369682.85621797293
917460.0,832710.4557347252,84749.54426527477
1745565.0,832710.8812776186,912854.1187223814
1745565.0,832712.7299778977,912852.2700221023
789161.0,832713.3520305264,43552.35203052638
1214499.0,832711.3395336805,381787.66046631953
1214499.0,832712.3509648306,381786.6490351694
1217110.0,832720.2722621359,384389.72773786413
1644303.0,832710.9633962938,811592.0366037062
1644303.0,832712.7302151666,811590.2697848334
1213903.0,832710.0141537844,381192.9858462156
1227952.0,832720.0478697361,395231.9521302639
1227952.0,832719.671259543,395232.32874045696
847517.0,832710.1752198896,14806.824780110386
1237499.0,832710.1493852107,404788.8506147893
1220790.0,832720.7214381758,388069.27856182423
884885.0,832710.7217688928,52174.278231107164
