total_calorie,heart_rate_sample_count,location_data_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.start_time,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.distance,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.end_time,com.samsung.health.exercise.sweat_loss,temperature_2m,relative_humidity_2m,wind_speed_10m,data,hora,dataToJoin,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.end_time
27.484.406,1186.0,,1209646,2023-06-24 09:41:51.883,174.0,184.0,3.093,16.869.398,,3171.14,274.826,183.0,,26.215.436,2023-06-24 10:02:02,482.0,"7    8.8285
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    5.483356
Name: wind_speed_10m, dtype: float32",2023-06-24,09:41:51,2023-06-24,75.0,0.0,28.0,12.0,0.0,56.0,193.0,40.0,0.0,46.0,0.0,34.0,83.0,1.0,70.0,55.0,0 days 00:00:00.000000193,2023-06-24 07:57:00.000,2023-06-24 11:10:00.000
1.358.724,591.0,,615441,2023-06-29 09:13:49.246,162.0,176.0,3.079,1.593.004,,1.512.289,135.11,181.0,,24.572.444,2023-06-29 09:24:41,268.0,"6    9.8785
Name: temperature_2m, dtype: float32","6    98.0
Name: relative_humidity_2m, dtype: float32","6    4.829907
Name: wind_speed_10m, dtype: float32",2023-06-29,09:13:49,2023-06-29,52.0,68.0,68.0,11.0,13.0,33.0,320.0,152.0,2.0,17.0,0.0,71.0,23.0,3.0,89.0,61.0,0 days 00:00:00.000000320,2023-06-29 02:54:00.000,2023-06-29 08:14:00.000
27.947.388,1219.0,,1244715,2023-07-01 09:51:03.118,171.0,185.0,3.078,16.885.794,,3.281.062,279.451,183.0,,26.359.947,2023-07-01 10:11:48,483.0,"7    11.4785
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    2.968636
Name: wind_speed_10m, dtype: float32",2023-07-01,09:51:03,2023-07-01,59.0,26.0,36.0,1.0,11.0,39.0,155.0,93.0,1.0,37.0,0.0,50.0,50.0,2.0,74.0,64.0,0 days 00:00:00.000000155,2023-07-01 01:36:00.000,2023-07-01 04:11:00.000
27.947.388,1219.0,,1244715,2023-07-01 09:51:03.118,171.0,185.0,3.078,16.885.794,,3.281.062,279.451,183.0,,26.359.947,2023-07-01 10:11:48,483.0,"7    11.4785
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    2.968636
Name: wind_speed_10m, dtype: float32",2023-07-01,09:51:03,2023-07-01,67.0,0.0,47.0,22.0,8.0,44.0,325.0,98.0,1.0,29.0,0.0,47.0,45.0,3.0,86.0,57.0,0 days 00:00:00.000000325,2023-07-01 05:27:00.000,2023-07-01 10:52:00.000
23.644.371,1000.0,,1027257,2023-07-08 09:40:02.498,170.0,177.0,3.004,17.142.741,98.0,2.757.156,236.438,177.0,,26.839.983,2023-07-08 09:57:10,398.0,"7    6.0785
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    5.315336
Name: wind_speed_10m, dtype: float32",2023-07-08,09:40:02,2023-07-08,70.0,0.0,10.0,0.0,0.0,9.0,80.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,88.0,55.0,0 days 00:00:00.000000080,2023-07-08 02:18:00.000,2023-07-08 03:38:00.000
23.644.371,1000.0,,1027257,2023-07-08 09:40:02.498,170.0,177.0,3.004,17.142.741,98.0,2.757.156,236.438,177.0,,26.839.983,2023-07-08 09:57:10,398.0,"7    6.0785
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    5.315336
Name: wind_speed_10m, dtype: float32",2023-07-08,09:40:02,2023-07-08,62.0,61.0,79.0,15.0,13.0,58.0,415.0,201.0,1.0,40.0,0.0,73.0,31.0,3.0,86.0,74.0,0 days 00:00:00.000000415,2023-07-08 04:03:00.000,2023-07-08 10:58:00.000
12.867.438,542.0,,571186,2023-07-13 09:00:29.274,167.0,189.0,3.201,16.229.391,127.0,1.432.484,127.359,187.0,,25.079.117,2023-07-13 09:11:04,264.0,"6    16.8785
Name: temperature_2m, dtype: float32","6    80.0
Name: relative_humidity_2m, dtype: float32","6    5.014219
Name: wind_speed_10m, dtype: float32",2023-07-13,09:00:29,2023-07-13,41.0,36.0,73.0,2.0,19.0,49.0,485.0,113.0,3.0,30.0,0.0,76.0,18.0,4.0,89.0,71.0,0 days 00:00:00.000000485,2023-07-13 01:40:00.000,2023-07-13 09:45:00.000
24.193.925,1004.0,,1036386,2023-07-15 09:31:08.733,174.0,185.0,3.059,17.165.419,132.0,2.787.875,240.486,179.0,,26.899.967,2023-07-15 09:49:35,415.0,"7    9.4285
Name: temperature_2m, dtype: float32","7    89.0
Name: relative_humidity_2m, dtype: float32","7    3.075841
Name: wind_speed_10m, dtype: float32",2023-07-15,09:31:08,2023-07-15,65.0,54.0,82.0,6.0,15.0,54.0,528.0,138.0,1.0,29.0,0.0,84.0,20.0,4.0,89.0,76.0,0 days 00:00:00.000000528,2023-07-15 01:42:00.000,2023-07-15 10:30:00.000
42.299.324,205.0,,210215,2023-07-21 10:03:46.495,156.0,177.0,3.01,14.727.779,108.0,478.781,42.257,179.0,,22.775.779,2023-07-21 10:07:18,,"7    14.528501
Name: temperature_2m, dtype: float32","7    91.0
Name: relative_humidity_2m, dtype: float32","7    1.938659
Name: wind_speed_10m, dtype: float32",2023-07-21,10:03:46,2023-07-21,80.0,2.0,47.0,38.0,10.0,78.0,502.0,129.0,0.0,45.0,0.0,60.0,54.0,4.0,84.0,67.0,0 days 00:00:00.000000502,2023-07-21 02:23:00.000,2023-07-21 10:45:00.000
16.735.902,751.0,,760209,2023-07-22 09:11:03.083,170.0,193.0,3.091,15.942.984,,1.884.296,166.662,180.0,,24.786.553,2023-07-22 09:24:17,317.0,"6    11.778501
Name: temperature_2m, dtype: float32","6    94.0
Name: relative_humidity_2m, dtype: float32","6    3.219938
Name: wind_speed_10m, dtype: float32",2023-07-22,09:11:03,2023-07-22,67.0,38.0,38.0,24.0,8.0,45.0,460.0,259.0,1.0,21.0,0.0,60.0,24.0,3.0,90.0,72.0,0 days 00:00:00.000000460,2023-07-22 03:01:00.000,2023-07-22 10:41:00.000
46.542.137,180.0,,202120,2023-07-22 09:28:11.048,162.0,183.0,3.186,1.540.669,,484.656,45.6,186.0,,23.978.627,2023-07-22 09:32:18,,"6    11.778501
Name: temperature_2m, dtype: float32","6    94.0
Name: relative_humidity_2m, dtype: float32","6    3.219938
Name: wind_speed_10m, dtype: float32",2023-07-22,09:28:11,2023-07-22,67.0,38.0,38.0,24.0,8.0,45.0,460.0,259.0,1.0,21.0,0.0,60.0,24.0,3.0,90.0,72.0,0 days 00:00:00.000000460,2023-07-22 03:01:00.000,2023-07-22 10:41:00.000
70.356.293,28.0,,38644,2023-07-22 09:45:19.476,107.0,132.0,3.073,15.526.343,91.0,93.453,7.02,177.0,,24.183.056,2023-07-22 09:45:58,,"7    11.6785
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.902413
Name: wind_speed_10m, dtype: float32",2023-07-22,09:45:19,2023-07-22,67.0,38.0,38.0,24.0,8.0,45.0,460.0,259.0,1.0,21.0,0.0,60.0,24.0,3.0,90.0,72.0,0 days 00:00:00.000000460,2023-07-22 03:01:00.000,2023-07-22 10:41:00.000
21.188.375,101.0,,116034,2023-07-26 09:33:24.453,136.0,160.0,2.988,125.135.735,,223.14,21.076,175.0,,19.230.571,2023-07-26 09:35:25,,"7    15.0785
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    2.545584
Name: wind_speed_10m, dtype: float32",2023-07-26,09:33:24,2023-07-26,62.0,7.0,45.0,2.0,23.0,58.0,439.0,41.0,1.0,36.0,0.0,61.0,26.0,5.0,86.0,65.0,0 days 00:00:00.000000439,2023-07-26 02:41:00.000,2023-07-26 10:00:00.000
8.135.135,356.0,,369177,2023-07-26 09:37:03.158,166.0,191.0,2.946,16.886.209,86.0,974.078,81.335,174.0,,26.385.121,2023-07-26 09:43:13,,"7    15.0785
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    2.545584
Name: wind_speed_10m, dtype: float32",2023-07-26,09:37:03,2023-07-26,62.0,7.0,45.0,2.0,23.0,58.0,439.0,41.0,1.0,36.0,0.0,61.0,26.0,5.0,86.0,65.0,0 days 00:00:00.000000439,2023-07-26 02:41:00.000,2023-07-26 10:00:00.000
9.661.092,21.0,,43434,2023-07-26 09:54:49.947,108.0,124.0,3.162,16.991.298,,114.64,9.589,185.0,,2.639.407,2023-07-26 09:55:36,,"7    15.0785
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    2.545584
Name: wind_speed_10m, dtype: float32",2023-07-26,09:54:49,2023-07-26,62.0,7.0,45.0,2.0,23.0,58.0,439.0,41.0,1.0,36.0,0.0,61.0,26.0,5.0,86.0,65.0,0 days 00:00:00.000000439,2023-07-26 02:41:00.000,2023-07-26 10:00:00.000
930.978,16.0,307ba65f-312e-4447-9fa0-e1ec00d5663c.location_data_internal.json,39542,2023-07-31 10:05:50.745,118.0,136.0,4.603,16.994.588,,154.855,9.289,186.0,,39.162.157,2023-07-31 10:06:31,,"7    13.3285
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.189795
Name: wind_speed_10m, dtype: float32",2023-07-31,10:05:50,2023-07-31,31.0,36.0,92.0,2.0,29.0,57.0,464.0,86.0,4.0,32.0,0.0,83.0,22.0,6.0,87.0,71.0,0 days 00:00:00.000000464,2023-07-31 02:46:00.000,2023-07-31 10:30:00.000
40.629.745,2421.0,d8c8e147-bf14-4945-8484-9560d3db4e85.location_data_internal.json,2456498,2023-08-05 09:21:19.518,159.0,183.0,4.703,13.243.242,128.0,5.687.613,405.227,183.0,43.07,23.153.338,2023-08-05 10:03:07,719.0,"6    9.8785
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    4.349896
Name: wind_speed_10m, dtype: float32",2023-08-05,09:21:19,2023-08-05,64.0,58.0,58.0,13.0,16.0,82.0,472.0,207.0,1.0,61.0,0.0,71.0,37.0,4.0,82.0,67.0,0 days 00:00:00.000000472,2023-08-05 02:52:00.000,2023-08-05 10:44:00.000
10.155.655,27.0,5dfa9c80-8ed9-4c2b-bc6a-00090faf4203.location_data_internal.json,48170,2023-08-05 10:16:31.307,100.0,111.0,3.855,1.519.618,91.0,147.521,10.119,176.0,,30.625.079,2023-08-05 10:17:21,,"7    10.0785
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    4.510787
Name: wind_speed_10m, dtype: float32",2023-08-05,10:16:31,2023-08-05,64.0,58.0,58.0,13.0,16.0,82.0,472.0,207.0,1.0,61.0,0.0,71.0,37.0,4.0,82.0,67.0,0 days 00:00:00.000000472,2023-08-05 02:52:00.000,2023-08-05 10:44:00.000
297.699,1179.0,e8949981-eec0-4d39-a72c-b10a2de5cefd.location_data_internal.json,1213261,2023-08-08 09:28:19.137,173.0,183.0,3.418,1.625.042,100.0,3618.94,297.666,172.0,43.57,29.828.207,2023-08-08 09:48:33,516.0,"6    16.978498
Name: temperature_2m, dtype: float32","6    89.0
Name: relative_humidity_2m, dtype: float32","6    9.0
Name: wind_speed_10m, dtype: float32",2023-08-08,09:28:19,2023-08-08,64.0,66.0,66.0,10.0,11.0,45.0,381.0,156.0,1.0,23.0,0.0,72.0,24.0,3.0,88.0,74.0,0 days 00:00:00.000000381,2023-08-08 02:09:00.000,2023-08-08 08:30:00.000
297.699,1179.0,e8949981-eec0-4d39-a72c-b10a2de5cefd.location_data_internal.json,1213261,2023-08-08 09:28:19.137,173.0,183.0,3.418,1.625.042,100.0,3618.94,297.666,172.0,43.57,29.828.207,2023-08-08 09:48:33,516.0,"6    16.978498
Name: temperature_2m, dtype: float32","6    89.0
Name: relative_humidity_2m, dtype: float32","6    9.0
Name: wind_speed_10m, dtype: float32",2023-08-08,09:28:19,2023-08-08,70.0,0.0,0.0,0.0,0.0,14.0,71.0,0.0,0.0,8.0,0.0,7.0,31.0,0.0,80.0,41.0,0 days 00:00:00.000000071,2023-08-08 08:45:00.000,2023-08-08 09:56:00.000
2.864.326,1259.0,100c0231-4774-453a-8a9d-c5a6bc6d4a5d.location_data_internal.json,1282325,2023-08-10 09:15:13.072,168.0,191.0,4.102,15.305.014,140.0,3.651.285,286.422,180.0,44.06,28.473.945,2023-08-10 09:36:35,501.0,"6    16.1285
Name: temperature_2m, dtype: float32","6    92.0
Name: relative_humidity_2m, dtype: float32","6    3.319036
Name: wind_speed_10m, dtype: float32",2023-08-10,09:15:13,2023-08-10,50.0,34.0,51.0,25.0,20.0,68.0,489.0,249.0,2.0,42.0,0.0,65.0,33.0,4.0,86.0,62.0,0 days 00:00:00.000000489,2023-08-10 01:41:00.000,2023-08-10 09:50:00.000
20.663.496,65.0,,92575,2023-08-15 09:23:28.010,156.0,166.0,3.458,1.399.946,141.0,238.343,20.634,172.0,,25.745.938,2023-08-15 09:25:02,,"6    17.578499
Name: temperature_2m, dtype: float32","6    92.0
Name: relative_humidity_2m, dtype: float32","6    2.27684
Name: wind_speed_10m, dtype: float32",2023-08-15,09:23:28,2023-08-15,64.0,46.0,48.0,51.0,16.0,74.0,500.0,248.0,1.0,50.0,0.0,67.0,45.0,4.0,85.0,61.0,0 days 00:00:00.000000500,2023-08-15 02:23:00.000,2023-08-15 10:43:00.000
2.111.058,757.0,,789210,2023-08-26 09:39:33.859,181.0,198.0,3.598,16.239.023,135.0,2408.75,210.318,174.0,,30.521.026,2023-08-26 09:53:21,363.0,"7    18.6285
Name: temperature_2m, dtype: float32","7    83.0
Name: relative_humidity_2m, dtype: float32","7    7.208994
Name: wind_speed_10m, dtype: float32",2023-08-26,09:39:33,2023-08-26,61.0,6.0,6.0,5.0,4.0,18.0,254.0,220.0,1.0,12.0,0.0,29.0,14.0,1.0,92.0,60.0,0 days 00:00:00.000000254,2023-08-26 04:00:00.000,2023-08-26 08:14:00.000
2.111.058,757.0,,789210,2023-08-26 09:39:33.859,181.0,198.0,3.598,16.239.023,135.0,2408.75,210.318,174.0,,30.521.026,2023-08-26 09:53:21,363.0,"7    18.6285
Name: temperature_2m, dtype: float32","7    83.0
Name: relative_humidity_2m, dtype: float32","7    7.208994
Name: wind_speed_10m, dtype: float32",2023-08-26,09:39:33,2023-08-26,64.0,10.0,10.0,11.0,6.0,39.0,162.0,97.0,1.0,33.0,0.0,26.0,56.0,2.0,75.0,56.0,0 days 00:00:00.000000162,2023-08-26 08:37:00.000,2023-08-26 11:19:00.000
16.388.179,614.0,,627105,2023-08-29 09:07:02.403,172.0,197.0,3.696,16.159.973,91.0,1.902.843,163.787,174.0,,30.343.294,2023-08-29 09:17:34,270.0,"6    14.4285
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    2.52
Name: wind_speed_10m, dtype: float32",2023-08-29,09:07:02,2023-08-29,39.0,31.0,39.0,5.0,26.0,44.0,424.0,109.0,3.0,21.0,0.0,63.0,20.0,5.0,89.0,70.0,0 days 00:00:00.000000424,2023-08-29 01:20:00.000,2023-08-29 08:24:00.000
16.388.179,614.0,,627105,2023-08-29 09:07:02.403,172.0,197.0,3.696,16.159.973,91.0,1.902.843,163.787,174.0,,30.343.294,2023-08-29 09:17:34,270.0,"6    14.4285
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    2.52
Name: wind_speed_10m, dtype: float32",2023-08-29,09:07:02,2023-08-29,70.0,0.0,0.0,0.0,0.0,13.0,70.0,0.0,0.0,13.0,0.0,7.0,37.0,0.0,81.0,41.0,0 days 00:00:00.000000070,2023-08-29 08:35:00.000,2023-08-29 09:45:00.000
2.540.813,912.0,,938743,2023-09-02 09:33:06.511,182.0,198.0,3.624,16.407.047,,2.911.021,252.885,175.0,,31.009.777,2023-09-02 09:49:43,427.0,"7    18.2785
Name: temperature_2m, dtype: float32","7    88.0
Name: relative_humidity_2m, dtype: float32","7    3.219938
Name: wind_speed_10m, dtype: float32",2023-09-02,09:33:06,2023-09-02,58.0,47.0,64.0,12.0,17.0,55.0,421.0,184.0,1.0,35.0,0.0,68.0,28.0,3.0,86.0,67.0,0 days 00:00:00.000000421,2023-09-02 03:24:00.000,2023-09-02 10:25:00.000
26.512.672,75.0,,100746,2023-09-02 09:52:37.982,167.0,178.0,3.767,1.625.871,148.0,304.326,26.504,181.0,,30.207.253,2023-09-02 09:54:19,,"7    18.2785
Name: temperature_2m, dtype: float32","7    88.0
Name: relative_humidity_2m, dtype: float32","7    3.219938
Name: wind_speed_10m, dtype: float32",2023-09-02,09:52:37,2023-09-02,58.0,47.0,64.0,12.0,17.0,55.0,421.0,184.0,1.0,35.0,0.0,68.0,28.0,3.0,86.0,67.0,0 days 00:00:00.000000421,2023-09-02 03:24:00.000,2023-09-02 10:25:00.000
21.119.124,766.0,,790126,2023-09-05 08:43:27.037,181.0,195.0,3.603,1.656.951,,2.461.984,211.182,176.0,,31.159.384,2023-09-05 08:56:37,381.0,"6    18.2785
Name: temperature_2m, dtype: float32","6    94.0
Name: relative_humidity_2m, dtype: float32","6    4.104631
Name: wind_speed_10m, dtype: float32",2023-09-05,08:43:27,2023-09-05,51.0,21.0,64.0,6.0,14.0,49.0,465.0,98.0,3.0,25.0,0.0,69.0,22.0,5.0,89.0,72.0,0 days 00:00:00.000000465,2023-09-05 01:55:00.000,2023-09-05 09:40:00.000
53.575.195,181.0,,206772,2023-09-06 08:43:30.080,160.0,180.0,3.546,1.593.059,104.0,619.179,53.501,171.0,,2.994.501,2023-09-06 08:47:00,,"6    18.178499
Name: temperature_2m, dtype: float32","6    86.0
Name: relative_humidity_2m, dtype: float32","6    9.064569
Name: wind_speed_10m, dtype: float32",2023-09-06,08:43:30,2023-09-06,71.0,31.0,34.0,21.0,14.0,54.0,469.0,146.0,1.0,30.0,0.0,63.0,32.0,5.0,88.0,68.0,0 days 00:00:00.000000469,2023-09-06 01:39:00.000,2023-09-06 09:28:00.000
26.092.834,953.0,,981937,2023-09-12 08:43:27.908,166.0,180.0,3.61,16.381.905,,3.017.242,260.392,173.0,,30.727.448,2023-09-12 09:00:15,449.0,"6    14.1285
Name: temperature_2m, dtype: float32","6    89.0
Name: relative_humidity_2m, dtype: float32","6    4.379589
Name: wind_speed_10m, dtype: float32",2023-09-12,08:43:27,2023-09-12,50.0,40.0,49.0,9.0,20.0,61.0,505.0,144.0,3.0,26.0,0.0,71.0,23.0,6.0,87.0,60.0,0 days 00:00:00.000000505,2023-09-12 01:20:00.000,2023-09-12 09:45:00.000
1.894.043,54.0,,79718,2023-09-14 08:50:30.736,130.0,146.0,3.479,15.504.652,107.0,224.148,18.929,169.0,,28.117.614,2023-09-14 08:51:51,,"6    16.478498
Name: temperature_2m, dtype: float32","6    96.0
Name: relative_humidity_2m, dtype: float32","6    3.75851
Name: wind_speed_10m, dtype: float32",2023-09-14,08:50:30,2023-09-14,74.0,76.0,76.0,13.0,6.0,77.0,468.0,165.0,1.0,55.0,0.0,81.0,36.0,4.0,83.0,74.0,0 days 00:00:00.000000468,2023-09-14 01:50:00.000,2023-09-14 09:38:00.000
24.347.202,888.0,,910004,2023-09-16 09:30:59.198,174.0,192.0,3.638,16.681.245,,2.845.781,241.909,175.0,,3.127.218,2023-09-16 09:47:25,376.0,"7    15.7285
Name: temperature_2m, dtype: float32","7    79.0
Name: relative_humidity_2m, dtype: float32","7    3.617955
Name: wind_speed_10m, dtype: float32",2023-09-16,09:30:59,2023-09-16,80.0,36.0,52.0,6.0,5.0,81.0,484.0,151.0,1.0,59.0,0.0,69.0,33.0,5.0,83.0,77.0,0 days 00:00:00.000000484,2023-09-16 02:55:00.000,2023-09-16 10:59:00.000
16.020.842,592.0,,607134,2023-09-19 08:10:03.629,173.0,188.0,3.538,16.464.241,90.0,1.876.742,160.183,174.0,,30.911.496,2023-09-19 08:20:12,277.0,"5    13.9785
Name: temperature_2m, dtype: float32","5    96.0
Name: relative_humidity_2m, dtype: float32","5    4.829907
Name: wind_speed_10m, dtype: float32",2023-09-19,08:10:03,2023-09-19,61.0,46.0,46.0,15.0,4.0,33.0,287.0,241.0,1.0,16.0,0.0,52.0,23.0,1.0,88.0,62.0,0 days 00:00:00.000000287,2023-09-19 01:06:00.000,2023-09-19 05:53:00.000
16.020.842,592.0,,607134,2023-09-19 08:10:03.629,173.0,188.0,3.538,16.464.241,90.0,1.876.742,160.183,174.0,,30.911.496,2023-09-19 08:20:12,277.0,"5    13.9785
Name: temperature_2m, dtype: float32","5    96.0
Name: relative_humidity_2m, dtype: float32","5    4.829907
Name: wind_speed_10m, dtype: float32",2023-09-19,08:10:03,2023-09-19,75.0,0.0,0.0,7.0,0.0,34.0,174.0,109.0,0.0,24.0,0.0,17.0,40.0,1.0,80.0,54.0,0 days 00:00:00.000000174,2023-09-19 06:16:00.000,2023-09-19 09:10:00.000
50.803.253,164.0,,190568,2023-09-19 08:21:52.771,163.0,178.0,3.576,16.749.927,133.0,590.734,50.799,175.0,,30.998.595,2023-09-19 08:25:03,,"5    13.9785
Name: temperature_2m, dtype: float32","5    96.0
Name: relative_humidity_2m, dtype: float32","5    4.829907
Name: wind_speed_10m, dtype: float32",2023-09-19,08:21:52,2023-09-19,61.0,46.0,46.0,15.0,4.0,33.0,287.0,241.0,1.0,16.0,0.0,52.0,23.0,1.0,88.0,62.0,0 days 00:00:00.000000287,2023-09-19 01:06:00.000,2023-09-19 05:53:00.000
50.803.253,164.0,,190568,2023-09-19 08:21:52.771,163.0,178.0,3.576,16.749.927,133.0,590.734,50.799,175.0,,30.998.595,2023-09-19 08:25:03,,"5    13.9785
Name: temperature_2m, dtype: float32","5    96.0
Name: relative_humidity_2m, dtype: float32","5    4.829907
Name: wind_speed_10m, dtype: float32",2023-09-19,08:21:52,2023-09-19,75.0,0.0,0.0,7.0,0.0,34.0,174.0,109.0,0.0,24.0,0.0,17.0,40.0,1.0,80.0,54.0,0 days 00:00:00.000000174,2023-09-19 06:16:00.000,2023-09-19 09:10:00.000
3.209.956,101.0,,127189,2023-09-23 09:44:24.772,148.0,162.0,3.503,1.613.347,126.0,384.506,32.035,169.0,,30.231.073,2023-09-23 09:46:35,,"7    19.328499
Name: temperature_2m, dtype: float32","7    85.0
Name: relative_humidity_2m, dtype: float32","7    3.219938
Name: wind_speed_10m, dtype: float32",2023-09-23,09:44:24,2023-09-23,63.0,25.0,38.0,10.0,7.0,35.0,380.0,286.0,1.0,18.0,0.0,51.0,17.0,2.0,90.0,67.0,0 days 00:00:00.000000380,2023-09-23 05:18:00.000,2023-09-23 11:38:00.000
2.032.194,733.0,,765837,2023-09-30 09:42:18.945,178.0,192.0,3.599,16.836.482,129.0,2.428.253,203.156,174.0,,31.707.177,2023-09-30 09:55:07,325.0,"7    17.2785
Name: temperature_2m, dtype: float32","7    81.0
Name: relative_humidity_2m, dtype: float32","7    4.452954
Name: wind_speed_10m, dtype: float32",2023-09-30,09:42:18,2023-09-30,67.0,24.0,38.0,14.0,3.0,55.0,418.0,198.0,1.0,32.0,0.0,56.0,28.0,2.0,86.0,66.0,0 days 00:00:00.000000418,2023-09-30 04:00:00.000,2023-09-30 10:58:00.000
24.873.825,66.0,,93379,2023-09-30 09:58:12.250,124.0,142.0,3.667,16.706.113,100.0,286.749,24.85,181.0,,30.708.082,2023-09-30 09:59:46,,"7    17.2785
Name: temperature_2m, dtype: float32","7    81.0
Name: relative_humidity_2m, dtype: float32","7    4.452954
Name: wind_speed_10m, dtype: float32",2023-09-30,09:58:12,2023-09-30,67.0,24.0,38.0,14.0,3.0,55.0,418.0,198.0,1.0,32.0,0.0,56.0,28.0,2.0,86.0,66.0,0 days 00:00:00.000000418,2023-09-30 04:00:00.000,2023-09-30 10:58:00.000
22.836.658,1057.0,,1077832,2023-10-03 08:20:33.937,162.0,187.0,3.852,14.818.636,,2.789.552,227.568,184.0,,25.881.138,2023-10-03 08:39:10,431.0,"5    19.728498
Name: temperature_2m, dtype: float32","5    98.0
Name: relative_humidity_2m, dtype: float32","5    2.27684
Name: wind_speed_10m, dtype: float32",2023-10-03,08:20:33,2023-10-03,69.0,52.0,73.0,35.0,11.0,59.0,453.0,282.0,1.0,27.0,0.0,69.0,31.0,4.0,86.0,74.0,0 days 00:00:00.000000453,2023-10-03 01:41:00.000,2023-10-03 09:14:00.000
14.789.654,41.0,,66856,2023-10-06 08:07:23.330,147.0,155.0,3.715,15.077.179,138.0,187.35,14.781,173.0,,28.022.914,2023-10-06 08:08:30,,"5    20.6285
Name: temperature_2m, dtype: float32","5    98.0
Name: relative_humidity_2m, dtype: float32","5    2.902413
Name: wind_speed_10m, dtype: float32",2023-10-06,08:07:23,2023-10-06,68.0,22.0,29.0,16.0,7.0,61.0,405.0,155.0,1.0,32.0,0.0,53.0,33.0,3.0,84.0,66.0,0 days 00:00:00.000000405,2023-10-06 02:30:00.000,2023-10-06 09:15:00.000
17.818.027,692.0,,724491,2023-10-17 08:14:10.005,168.0,182.0,3.646,16.240.367,100.0,2.154.773,178.162,175.0,,29.741.886,2023-10-17 08:26:15,315.0,"5    18.478498
Name: temperature_2m, dtype: float32","5    100.0
Name: relative_humidity_2m, dtype: float32","5    3.617955
Name: wind_speed_10m, dtype: float32",2023-10-17,08:14:10,2023-10-17,92.0,60.0,60.0,11.0,3.0,50.0,468.0,177.0,0.0,21.0,0.0,73.0,21.0,5.0,89.0,83.0,0 days 00:00:00.000000468,2023-10-17 01:26:00.000,2023-10-17 09:14:00.000
22.043.143,830.0,,852518,2023-10-19 08:17:03.138,164.0,180.0,3.625,15.821.367,90.0,2509.46,219.214,176.0,,29.435.859,2023-10-19 08:32:15,386.0,"5    18.5285
Name: temperature_2m, dtype: float32","5    86.0
Name: relative_humidity_2m, dtype: float32","5    3.75851
Name: wind_speed_10m, dtype: float32",2023-10-19,08:17:03,2023-10-19,63.0,41.0,45.0,7.0,12.0,71.0,458.0,175.0,1.0,55.0,0.0,65.0,32.0,3.0,84.0,70.0,0 days 00:00:00.000000458,2023-10-19 01:36:00.000,2023-10-19 09:14:00.000
19.387.352,708.0,,730346,2023-10-21 09:32:19.169,173.0,190.0,3.57,16.956.346,132.0,2.325.421,193.85,175.0,,31.839.988,2023-10-21 09:44:30,313.0,"7    18.178499
Name: temperature_2m, dtype: float32","7    88.0
Name: relative_humidity_2m, dtype: float32","7    3.706427
Name: wind_speed_10m, dtype: float32",2023-10-21,09:32:19,2023-10-21,48.0,52.0,68.0,7.0,22.0,65.0,501.0,182.0,2.0,35.0,0.0,75.0,24.0,4.0,87.0,66.0,0 days 00:00:00.000000501,2023-10-21 03:03:00.000,2023-10-21 11:24:00.000
