total_calorie,heart_rate_sample_count,location_data_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.start_time,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.distance,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.end_time,com.samsung.health.exercise.sweat_loss,temperature_2m,relative_humidity_2m,wind_speed_10m,data,hora,dataToJoin,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.end_time
62.961.426,286.0,,312278,2023-03-07 08:36:47.201,158.0,172.0,2.737,15.832.047,129.0,754.156,62.902,168.0,,24.150.147,2023-03-07 08:42:02,,"6    17.678499
Name: temperature_2m, dtype: float32","6    98.0
Name: relative_humidity_2m, dtype: float32","6    4.024922
Name: wind_speed_10m, dtype: float32",2023-03-07,08:36:47,2023-03-07,58.0,26.0,26.0,17.0,7.0,31.0,430.0,269.0,2.0,18.0,0.0,53.0,18.0,3.0,92.0,67.0,0 days 00:00:00.000000430,2023-03-07 03:18:00.000,2023-03-07 10:28:00.000
8.788.406,400.0,,415698,2023-03-09 09:21:28.546,153.0,183.0,2.971,14.924.297,,950.812,86.471,177.0,,22.872.663,2023-03-09 09:29:34,,"6    17.928499
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    3.545589
Name: wind_speed_10m, dtype: float32",2023-03-09,09:21:28,2023-03-09,84.0,32.0,54.0,4.0,11.0,39.0,502.0,118.0,0.0,13.0,0.0,72.0,14.0,5.0,92.0,84.0,0 days 00:00:00.000000502,2023-03-09 02:08:00.000,2023-03-09 10:30:00.000
6.929.506,355.0,,374211,2023-03-10 09:37:12.278,154.0,174.0,3.018,15.183.948,,859.656,69.189,177.0,,22.972.496,2023-03-10 09:43:31,,"7    19.978498
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    3.41526
Name: wind_speed_10m, dtype: float32",2023-03-10,09:37:12,2023-03-10,67.0,7.0,20.0,19.0,3.0,48.0,408.0,129.0,2.0,34.0,0.0,48.0,35.0,4.0,88.0,66.0,0 days 00:00:00.000000408,2023-03-10 02:36:00.000,2023-03-10 09:24:00.000
15.616.866,721.0,,737942,2023-03-11 09:55:41.853,169.0,183.0,2.819,16.627.324,,1.898.312,156.124,171.0,,25.724.406,2023-03-11 10:08:02,335.0,"7    19.6285
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.968636
Name: wind_speed_10m, dtype: float32",2023-03-11,09:55:41,2023-03-11,61.0,24.0,24.0,6.0,14.0,103.0,524.0,115.0,2.0,78.0,0.0,65.0,40.0,5.0,80.0,68.0,0 days 00:00:00.000000524,2023-03-11 02:42:00.000,2023-03-11 11:26:00.000
47.047.134,193.0,,219384,2023-03-11 10:21:06.673,164.0,183.0,3.028,17.038.617,107.0,576.343,47.017,181.0,,2.627.097,2023-03-11 10:24:47,,"7    19.6285
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.968636
Name: wind_speed_10m, dtype: float32",2023-03-11,10:21:06,2023-03-11,61.0,24.0,24.0,6.0,14.0,103.0,524.0,115.0,2.0,78.0,0.0,65.0,40.0,5.0,80.0,68.0,0 days 00:00:00.000000524,2023-03-11 02:42:00.000,2023-03-11 11:26:00.000
7.135.364,290.0,,303054,2023-03-16 09:36:10.296,156.0,181.0,2.984,16.016.948,,755.093,69.233,177.0,,24.916.122,2023-03-16 09:42:58,,"7    17.5285
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    2.902413
Name: wind_speed_10m, dtype: float32",2023-03-16,09:36:10,2023-03-16,58.0,27.0,31.0,24.0,17.0,61.0,432.0,167.0,2.0,31.0,0.0,57.0,36.0,5.0,85.0,58.0,0 days 00:00:00.000000432,2023-03-16 03:18:00.000,2023-03-16 10:30:00.000
17.747.806,811.0,,832712,2023-03-18 10:00:27.016,167.0,188.0,3.065,16.291.347,85.0,2.108.562,177.055,181.0,,25.321.624,2023-03-18 10:14:40,378.0,"7    18.828499
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.27684
Name: wind_speed_10m, dtype: float32",2023-03-18,10:00:27,2023-03-18,75.0,10.0,18.0,1.0,0.0,18.0,157.0,73.0,0.0,17.0,0.0,33.0,24.0,1.0,88.0,70.0,0 days 00:00:00.000000157,2023-03-18 03:19:00.000,2023-03-18 05:56:00.000
17.747.806,811.0,,832712,2023-03-18 10:00:27.016,167.0,188.0,3.065,16.291.347,85.0,2.108.562,177.055,181.0,,25.321.624,2023-03-18 10:14:40,378.0,"7    18.828499
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.27684
Name: wind_speed_10m, dtype: float32",2023-03-18,10:00:27,2023-03-18,27.0,20.0,20.0,35.0,23.0,71.0,261.0,154.0,3.0,61.0,0.0,39.0,73.0,2.0,72.0,43.0,0 days 00:00:00.000000261,2023-03-18 06:34:00.000,2023-03-18 10:55:00.000
74.239.685,413.0,,435378,2023-03-18 10:27:15.461,149.0,175.0,3.054,14.869.838,,960.156,74.203,181.0,,2.205.339,2023-03-18 10:34:32,,"7    18.828499
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.27684
Name: wind_speed_10m, dtype: float32",2023-03-18,10:27:15,2023-03-18,75.0,10.0,18.0,1.0,0.0,18.0,157.0,73.0,0.0,17.0,0.0,33.0,24.0,1.0,88.0,70.0,0 days 00:00:00.000000157,2023-03-18 03:19:00.000,2023-03-18 05:56:00.000
74.239.685,413.0,,435378,2023-03-18 10:27:15.461,149.0,175.0,3.054,14.869.838,,960.156,74.203,181.0,,2.205.339,2023-03-18 10:34:32,,"7    18.828499
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    2.27684
Name: wind_speed_10m, dtype: float32",2023-03-18,10:27:15,2023-03-18,27.0,20.0,20.0,35.0,23.0,71.0,261.0,154.0,3.0,61.0,0.0,39.0,73.0,2.0,72.0,43.0,0 days 00:00:00.000000261,2023-03-18 06:34:00.000,2023-03-18 10:55:00.000
