com.samsung.health.exercise.distance,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.mean_heart_rate,sleep_duration,temperature_2m,relative_humidity_2m,sleep_score,mental_recovery
2.86,31.294,171.0,479.0,7.0,7.0,82.0,67.0
1.248,29.896,157.0,480.0,5.0,5.0,84.0,87.0
1.232,32.207,154.0,397.0,5.0,5.0,57.0,59.0
2.924,31.423,175.0,406.0,7.0,7.0,52.0,61.0
2.924,31.423,175.0,32.0,7.0,7.0,47.0,70.0
1.242,3.128,167.0,487.0,5.0,5.0,83.0,46.0
2.822,31.091,165.0,440.0,6.0,6.0,83.0,67.0
1.824,3.037,165.0,474.0,6.0,6.0,80.0,61.0
2.392,28.642,171.0,412.0,8.0,8.0,57.0,48.0
1270.5,30.076,155.0,458.0,6.0,6.0,79.0,65.0
2703.14,29.958,178.0,452.0,5.0,5.0,81.0,39.0
1.228,2.866,161.0,471.0,6.0,6.0,84.0,61.0
3.675,2.885,174.0,449.0,7.0,7.0,84.0,70.0
1.263,30.052,168.0,396.0,6.0,6.0,81.0,70.0
1854.78,30.347,164.0,469.0,6.0,6.0,79.0,83.0
1.278,29.667,162.0,442.0,6.0,6.0,76.0,72.0
3.672,289.944,173.0,588.0,7.0,7.0,70.0,53.0
1.9,30.817,160.0,440.0,6.0,6.0,79.0,64.0
1.339,30.955,167.0,438.0,6.0,6.0,79.0,61.0
1.891,30.819,169.0,400.0,6.0,6.0,82.0,60.0
445.214,29.045,151.0,528.0,7.0,7.0,90.0,89.0
3757.15,29.603,173.0,482.0,7.0,7.0,86.0,87.0
1.292,29.907,164.0,440.0,6.0,6.0,74.0,60.0
5534.96,28.482,169.0,498.0,14.0,14.0,81.0,54.0
1.912,3.111,166.0,367.0,6.0,6.0,72.0,83.0
236.882,28.505,100.0,440.0,6.0,6.0,81.0,78.0
525.203,29.161,159.0,464.0,6.0,6.0,87.0,79.0
3.644,30.089,173.0,439.0,6.0,6.0,86.0,65.0
2121.0,30.582,179.0,420.0,6.0,6.0,90.0,77.0
2746.75,3.027,181.0,399.0,6.0,6.0,78.0,55.0
1.891,30.863,174.0,472.0,6.0,6.0,88.0,57.0
3.712,30.397,168.0,467.0,6.0,6.0,88.0,54.0
3677.88,27.315,174.0,509.0,7.0,7.0,87.0,77.0
3.534,29.273,169.0,468.0,6.0,6.0,86.0,72.0
3.651,30.226,169.0,439.0,6.0,6.0,83.0,60.0
3.648,30.346,171.0,434.0,6.0,6.0,83.0,77.0
3.693,30.498,167.0,422.0,6.0,6.0,85.0,83.0
3.725,3.039,167.0,301.0,6.0,6.0,78.0,82.0
3.732,30.944,161.0,468.0,5.0,5.0,80.0,43.0
3.754,3.106,164.0,258.0,5.0,5.0,54.0,79.0
4.691,308.038,160.0,418.0,7.0,7.0,81.0,67.0
3.765,30.774,164.0,460.0,5.0,5.0,81.0,53.0
900.406,29.476,143.0,431.0,5.0,5.0,80.0,82.0
3.773,31.158,164.0,358.0,5.0,5.0,68.0,58.0
5.022,30.682,161.0,223.0,6.0,6.0,63.0,77.0
5.022,30.682,161.0,186.0,6.0,6.0,49.0,77.0
3717.5,30.729,163.0,442.0,5.0,5.0,81.0,60.0
3.511,28.711,143.0,126.0,5.0,5.0,56.0,65.0
3.511,28.711,143.0,299.0,5.0,5.0,57.0,59.0
5.351,29.525,173.0,355.0,7.0,7.0,77.0,72.0
5.351,29.525,173.0,94.0,7.0,7.0,28.0,70.0
3.612,30.238,173.0,324.0,7.0,7.0,70.0,74.0
3.612,30.238,173.0,129.0,7.0,7.0,35.0,79.0
3.675,2.956,152.0,462.0,5.0,5.0,88.0,59.0
