com.samsung.shealth.exercise.weather,6303011,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2018-02-17 09:15:55.068,-21.787762,,NE. 50,Nublado,0,1,TWC,2018-02-17 09:15:55.071,2018-02-17 09:15:55.071,1,-43.36275,18.0,96,UTC-0200,2xsU3mmPSe,f335bd4d-c20b-4f80-8ee0-ffb0730ad0e7,com.sec.android.app.shealth,km/h,0,5.0,3,56897cc0-ee11-424f-b6f2-7ebfe88c1f47,
,0,2020-04-10 12:50:50.346,-20.721077,,NNE. 30,Light Rain,0,1,TWC,2020-04-10 12:50:50.349,2020-04-10 12:50:50.349,1,-42.038746,22.0,84,UTC-0300,O+mqRwYCKf,b17ae378-355c-4b01-bed5-a1e03b3a0235,com.sec.android.app.shealth,km/h,0,3.0,5,0435c8a2-490a-4efe-97d6-f14eb58c860e,
,0,2018-12-26 09:33:39.474,-20.718855,,NE. 50,Encoberto,0,1,TWC,2018-12-26 09:33:39.476,2018-12-26 09:33:39.476,1,-42.038353,21.0,95,UTC-0200,O+mqRwYCKf,0402f7cb-c61d-4154-a61e-d12626ebb3eb,com.sec.android.app.shealth,km/h,0,3.0,3,2cb7cd53-de84-4ffb-bcbc-dca74c5be8bf,
,0,2018-02-01 08:26:13.581,-21.784302,,SO. 220,Encoberto,0,1,TWC,2018-02-01 08:26:13.585,2018-02-01 08:26:13.585,1,-43.36142,16.0,100,UTC-0200,2xsU3mmPSe,a1ac0b80-e1df-4110-8817-10c208c8ccbb,com.sec.android.app.shealth,km/h,0,8.0,3,994e434f-cb12-4b28-953f-64c8e810760b,
,0,2018-06-03 11:35:02.452,-20.73673,,NNW. 330,Partly Cloudy,0,1,TWC,2018-06-03 11:35:02.455,2018-06-03 11:35:02.455,1,-42.015842,23.0,70,UTC-0300,2xsU3mmPSe,4a8d9f72-91d6-4182-88ae-b8e7f5a25b14,com.sec.android.app.shealth,km/h,0,5.0,2,30e1afda-3c08-449c-aa08-4481b393ab66,
,0,2018-07-22 22:39:08.911,-22.814264,,SE. 140,Fair,0,1,TWC,2018-07-22 22:39:08.920,2018-07-22 22:39:08.920,1,-43.247066,23.0,84,UTC-0300,2xsU3mmPSe,b084a99c-1b44-4986-9b0f-92066ab07c75,com.sec.android.app.shealth,km/h,0,13.0,18,fcabff81-ff15-4692-bac9-a06c9d081597,
,0,2018-04-09 09:34:15.052,-21.773582,,NE. 40,Nublado,0,1,TWC,2018-04-09 09:34:15.056,2018-04-09 09:34:15.056,1,-43.36768,17.0,95,UTC-0300,2xsU3mmPSe,1f19c59b-cda3-4069-908a-8544437ea2bb,com.sec.android.app.shealth,km/h,0,6.0,3,c26310d1-aeba-4c91-8830-de61d8beb6d5,
,0,2018-04-17 12:23:47.715,-21.80979,,ESE. 110,Encoberto,0,1,TWC,2018-04-17 12:23:47.719,2018-04-17 12:23:47.719,1,-43.380104,17.0,81,UTC-0300,2xsU3mmPSe,747ce49c-f905-4d49-9cb9-6336d8cfad7d,com.sec.android.app.shealth,km/h,0,8.0,3,598c5e1b-a1a3-481e-b26b-02f4e5e1e311,
,0,2018-02-19 09:34:24.334,-21.775555,,NNE. 20,Nublado,0,1,TWC,2018-02-19 09:34:24.335,2018-02-19 09:34:24.335,1,-43.37002,18.0,100,UTC-0300,2xsU3mmPSe,ca107190-747b-45ff-99cd-def009ce7185,com.sec.android.app.shealth,km/h,0,8.0,3,a551ba17-a8d4-44ac-a6c0-eb9c3514c831,
,0,2018-02-23 09:29:45.218,-21.773159,,OSO. 250,Nublado,0,1,TWC,2018-02-23 09:29:45.220,2018-02-23 09:29:45.220,1,-43.367725,19.0,100,UTC-0300,2xsU3mmPSe,2e3038f4-8fe2-4c3a-846d-cb05524a191d,com.sec.android.app.shealth,km/h,0,6.0,3,e5515dd2-fdde-4142-9512-c9e1c7e2f74e,
,0,2018-10-03 10:05:02.834,-21.773642,,N. 0,Ensolarado,0,1,TWC,2018-10-03 10:05:02.837,2018-10-03 10:05:02.837,1,-43.36778,18.0,91,UTC-0300,O+mqRwYCKf,08c117b3-b264-479c-beb2-4073c9fae3fa,com.sec.android.app.shealth,km/h,0,11.0,1,f2070f8b-21b7-4e72-9511-6dcd8c17c52d,
,0,2018-01-31 09:44:19.720,-21.7778,,S. 190,Nublado,0,1,TWC,2018-01-31 09:44:19.722,2018-01-31 09:44:19.722,1,-43.369976,17.0,92,UTC-0200,2xsU3mmPSe,c50e853e-695d-4207-9c94-051c4548ef5e,com.sec.android.app.shealth,km/h,0,8.0,3,699a49c1-f8de-46c5-b1f5-99722e33e4a6,
,0,2018-02-13 08:53:02.789,-21.784418,,N. 10,Encoberto,0,1,TWC,2018-02-13 08:53:02.791,2018-02-13 08:53:02.791,1,-43.36183,19.0,100,UTC-0200,2xsU3mmPSe,5fcdb229-7603-4ae0-96da-9051775e3bac,com.sec.android.app.shealth,km/h,0,6.0,3,f0069ca2-827e-4cf0-9f28-0f02732fd1d6,
,0,2018-08-22 14:53:20.303,-21.773848,,N. 10,Parcial. nublado,0,1,TWC,2018-08-22 14:53:20.306,2018-08-22 14:53:20.306,1,-43.36831,23.0,52,UTC-0300,2xsU3mmPSe,4aee0600-0ed1-4351-ab17-6d80c57fe966,com.sec.android.app.shealth,km/h,0,13.0,2,7515b90a-1aa3-4b51-87f6-ff9ae9bf35f8,
,0,2018-05-22 13:10:34.910,-21.81565,,NNE. 30,Partly Cloudy,0,1,TWC,2018-05-22 13:10:34.912,2018-05-22 13:10:34.912,1,-43.3827,16.0,77,UTC-0300,2xsU3mmPSe,00ff9715-1212-4dbb-99de-049be807c79b,com.sec.android.app.shealth,km/h,0,10.0,2,ded86198-a044-4249-8099-78495aa3611d,
,0,2018-07-24 17:46:08.556,-5.8690214,,SE. 130,Fair/Wind,0,1,TWC,2018-07-24 17:46:08.558,2018-07-24 17:46:08.558,1,-35.181076,29.0,53,UTC-0300,2xsU3mmPSe,d0827718-f090-4e6d-8a57-3d7570ac7987,com.sec.android.app.shealth,km/h,0,37.0,1,f00ce985-2192-44b5-bd92-ba891e15b075,
,0,2018-04-29 10:26:54.701,-20.719675,,N. 10,Parcial. nublado,0,1,TWC,2018-04-29 10:26:54.708,2018-04-29 10:26:54.708,1,-42.03843,18.0,92,UTC-0300,2xsU3mmPSe,1f0851f9-5952-4bd7-a28d-dbda1f026a52,com.sec.android.app.shealth,km/h,0,3.0,2,e6fb23e4-6ae9-4959-9c6a-570a27d080f9,
,0,2018-07-03 16:09:34.381,-21.75437,,S. 180,Sunny,0,1,TWC,2018-07-03 16:09:34.385,2018-07-03 16:09:34.385,1,-43.36068,26.0,39,UTC-0300,2xsU3mmPSe,34fb2056-1698-425b-b260-a90dcd2aef3b,com.sec.android.app.shealth,km/h,0,11.0,1,ad54b0cf-a8f4-4eed-9ceb-d1186efb7210,
,0,2020-03-13 12:30:09.713,43.009148,,W. 280,Cloudy,0,1,TWC,2020-03-13 12:30:09.715,2020-03-13 12:30:09.715,1,-81.27018,4.0,76,UTC-0400,O+mqRwYCKf,e13e8ead-8768-4602-b1c9-7471e5f96e37,com.sec.android.app.shealth,km/h,0,26.0,3,64ec1c46-82f5-4bfd-a78f-67dbf7ecace1,
,0,2018-03-12 10:14:24.549,-21.773642,,NO. 320,Limpo,0,1,TWC,2018-03-12 10:14:24.551,2018-03-12 10:14:24.551,1,-43.367645,19.0,96,UTC-0300,2xsU3mmPSe,0e5b1404-fee8-440b-9115-2811fa8c3aa6,com.sec.android.app.shealth,km/h,0,8.0,1,5cd8dae4-49f1-46f6-9842-a915c291aadf,
,0,2018-01-30 08:26:52.245,-21.78447,,N. 0,Nublado,0,1,TWC,2018-01-30 08:26:52.248,2018-01-30 08:26:52.248,1,-43.361786,20.0,100,UTC-0200,2xsU3mmPSe,9f8c4719-9bc7-4f1b-96f3-6943aac2861c,com.sec.android.app.shealth,km/h,0,8.0,3,05d828f8-fa96-4593-a06c-0d680921b25b,
,0,2018-02-20 12:16:43.338,-21.809452,,N. 0,Encoberto,0,1,TWC,2018-02-20 12:16:43.340,2018-02-20 12:16:43.340,1,-43.37958,23.0,80,UTC-0300,2xsU3mmPSe,5f21745a-0280-4575-aac2-2de059a29914,com.sec.android.app.shealth,km/h,0,14.0,3,ff66a016-655d-4ed1-915c-ebb25280e643,
