Valor Real,Predição,Erro Absoluto
27621.0,282987.66317626997,255366.66317626997
5429415.0,5527584.957559435,98169.9575594347
3109282.0,3408892.7751349844,299610.7751349844
1469795.0,1525407.4271631676,55612.427163167624
1241290.0,1262397.492526784,21107.492526784074
4824755.0,5092809.728949395,268054.728949395
2369960.0,2472504.7942067725,102544.79420677247
1423634.0,1335327.327101693,88306.67289830698
3427007.0,3370100.2819647053,56906.718035294674
1947296.0,2028016.3192412262,80720.31924122619
3778085.0,3766364.954166374,11720.04583362583
3344411.0,3533913.516050121,189502.51605012082
2873590.0,2595533.54918321,278056.4508167901
3667285.0,3680201.6981891003,12916.69818910025
2636142.0,2713445.866043264,77303.86604326405
1206672.0,1222800.1205063825,16128.120506382547
1814045.0,1918834.5261877133,104789.52618771326
3967673.0,3962343.7938664053,5329.2061335947365
22799.0,738914.8495176246,716115.8495176246
4216625.0,4139910.6944696987,76714.3055303013
2239536.0,2245758.7952824626,6222.795282462612
5558278.0,5657044.726210981,98766.72621098068
1673948.0,1715576.0470603355,41628.04706033552
2571863.0,2405548.829155401,166314.17084459914
6130615.0,6325468.192216236,194853.19221623614
2363772.0,2214689.230246663,149082.7697533369
7025916.0,7582189.481108358,556273.4811083581
1790342.0,1775432.846135744,14909.153864256106
2297560.0,2490252.3792481665,192692.37924816646
3663717.0,3865209.224127244,201492.2241272442
2752245.0,2810592.319909863,58347.319909863174
3013694.0,3058747.391134473,45053.39113447303
2811292.0,2806504.1269406704,4787.873059329577
2508986.0,2208155.001317496,300830.99868250405
2028895.0,1915802.4170910078,113092.58290899219
