Valor Real,Predição,Erro Absoluto
27621.0,80723.21223940501,53102.21223940501
5429415.0,4893265.483502936,536149.5164970644
3109282.0,3374428.4722831785,265146.4722831785
1469795.0,1557142.8679924984,87347.86799249845
1241290.0,1651537.4739984684,410247.47399846837
4824755.0,4790725.9926942345,34029.007305765525
2369960.0,2441651.783425389,71691.78342538886
1423634.0,1677226.1576556044,253592.15765560442
3427007.0,3277914.246376743,149092.75362325693
1947296.0,1902851.6669476673,44444.333052332746
3778085.0,3746355.5962481303,31729.403751869686
3344411.0,3630939.6452455698,286528.64524556976
2873590.0,2508404.6902202195,365185.30977978045
3667285.0,3718164.864617668,50879.86461766809
2636142.0,2791210.219379518,155068.21937951818
1206672.0,1705895.1582852742,499223.15828527417
1814045.0,1863930.0863993082,49885.08639930817
3967673.0,3939809.4123027027,27863.587697297335
22799.0,153470.56256516755,130671.56256516755
4216625.0,4247147.647171273,30522.647171272896
2239536.0,2301187.499722053,61651.49972205283
5558278.0,4808712.828849216,749565.171150784
1673948.0,1818387.4706222946,144439.47062229458
2571863.0,2605019.002975454,33156.00297545409
6130615.0,4808760.034843492,1321854.9651565077
2363772.0,2363489.110021872,282.8899781280197
7025916.0,4815042.804632076,2210873.195367924
1790342.0,2051210.2189500942,260868.2189500942
2297560.0,2592183.877067671,294623.87706767116
3663717.0,3883738.9586264947,220021.95862649474
2752245.0,2977237.0495816125,224992.04958161246
3013694.0,3169348.9639517865,155654.9639517865
2811292.0,2827882.6027410654,16590.602741065435
2508986.0,2254187.966222537,254798.03377746278
2028895.0,2108042.6963679586,79147.69636795856
