Valor Real,Predição,Erro Absoluto
1208036.0,1211555.44,3519.439999999944
1093779.0,1230163.77,136384.77000000002
94239.0,134070.14,39831.140000000014
1222000.0,1208390.33,13609.669999999925
2810639.0,1013516.95,1797122.05
2810639.0,1120672.9,1689966.1
615491.0,651417.94,35926.939999999944
615491.0,660887.72,45396.71999999997
58465.0,159393.49,100928.48999999999
58465.0,254724.35,196259.35
1209356.0,1216888.12,7532.120000000112
1209356.0,1221209.8,11853.800000000047
1218271.0,1213372.53,4898.469999999972
3001412.0,2705701.16,295710.83999999985
3001412.0,2688169.86,313242.14000000013
1217117.0,1255218.86,38101.8600000001
1206563.0,1231286.4,24723.399999999907
1208511.0,1214656.19,6145.189999999944
1191628.0,1273114.99,81486.98999999999
909600.0,954054.91,44454.91000000003
1207867.0,1215299.6,7432.600000000093
299856.0,340963.74,41107.73999999999
1089775.0,1228285.38,138510.3799999999
1206273.0,1215558.31,9285.310000000056
1211215.0,1212453.52,1238.5200000000186
614187.0,605126.6,9060.400000000023
614187.0,679496.69,65309.689999999944
1216512.0,1215366.93,1145.0700000000652
1216512.0,1215330.03,1181.969999999972
1199973.0,1220695.91,20722.909999999916
1199973.0,1222690.8,22717.800000000047
1202395.0,1220072.92,17677.919999999925
1202395.0,1216564.57,14169.570000000065
1202395.0,1220037.61,17642.610000000102
917460.0,940345.44,22885.439999999944
1745565.0,1806879.98,61314.97999999998
1745565.0,1819192.56,73627.56000000006
789161.0,831740.81,42579.810000000056
1214499.0,1208398.56,6100.439999999944
1214499.0,1221053.72,6554.719999999972
1217110.0,1213921.4,3188.600000000093
1644303.0,1637615.68,6687.320000000065
1644303.0,1645084.16,781.1599999999162
1213903.0,1206684.61,7218.389999999898
1227952.0,1220513.76,7438.239999999991
1227952.0,1206450.1,21501.899999999907
847517.0,854948.57,7431.569999999949
1237499.0,1248073.68,10574.679999999935
1220790.0,1223858.59,3068.590000000084
884885.0,964936.28,80051.28000000003
