Valor Real,Predição,Erro Absoluto
1208036.0,1028907.0686566229,179128.9313433771
1093779.0,774175.6716043078,319603.32839569217
94239.0,340096.01704643597,245857.01704643597
1222000.0,928366.4830223839,293633.5169776161
2810639.0,698806.0083408896,2111832.9916591104
2810639.0,564436.3317882777,2246202.6682117223
615491.0,1039866.7181066442,424375.7181066442
615491.0,905497.0415540319,290006.0415540319
58465.0,245224.47368102754,186759.47368102754
58465.0,442862.4542223159,384397.4542223159
1209356.0,857860.1008664444,351495.8991335556
1209356.0,1055498.0814077323,153857.91859226767
1218271.0,758982.339613596,459288.660386404
3001412.0,935461.1145033957,2065950.8854966043
3001412.0,819867.2784739803,2181544.7215260197
1217117.0,888440.0928780758,328676.9071219242
1206563.0,779453.3317491524,427109.6682508476
1208511.0,918328.4963014713,290182.50369852874
1191628.0,721797.4362385198,469830.56376148015
909600.0,717624.5450473102,191975.45495268982
1207867.0,901170.5444140988,306696.45558590116
299856.0,683586.8744066646,383730.87440666463
1089775.0,766349.9602133967,323425.0397866033
1206273.0,895240.3268188443,311032.6731811557
1211215.0,870816.5665137139,340398.4334862861
614187.0,868675.2172824629,254488.21728246287
614187.0,1235444.2946573622,621257.2946573622
1216512.0,806973.3376012798,409538.66239872016
1216512.0,908607.4403529465,307904.5596470535
1199973.0,612274.9735356402,587698.0264643598
1199973.0,774386.2054953077,425586.7945046923
1202395.0,1081495.5902721598,120899.40972784022
1202395.0,851627.8788606352,350767.1211393648
1202395.0,1061719.128036335,140675.8719636649
917460.0,753373.0286223213,164086.97137767868
1745565.0,1092893.2560309777,652671.7439690223
1745565.0,961304.6784992013,784260.3215007987
789161.0,1066823.4982835986,277662.4982835986
1214499.0,788914.2232649475,425584.77673505247
1214499.0,681400.6497764033,533098.3502235967
1217110.0,687693.6699084556,529416.3300915444
1644303.0,1095697.9092055447,548605.0907944553
1644303.0,1287050.057096213,357252.9429037869
1213903.0,860318.6482071597,353584.3517928403
1227952.0,514064.871911868,713887.128088132
1227952.0,751161.9861111376,476790.01388886245
847517.0,979118.110723672,131601.11072367197
1237499.0,989767.1466890462,247731.85331095383
1220790.0,910479.1061770739,310310.8938229261
884885.0,1144553.3626980786,259668.36269807862
