Valor Real,Predição,Erro Absoluto
2873590.0,2694571.2314761896,179018.76852381043
3667285.0,3724661.2259350824,57376.22593508242
2636142.0,2672151.200631653,36009.20063165296
1206672.0,1182817.7731234937,23854.22687650635
1814045.0,1842766.5220014723,28721.5220014723
3967673.0,4047253.4218303193,79580.42183031933
4216625.0,4242481.2025599,25856.20255989954
2239536.0,2218738.2962833885,20797.70371661149
1673948.0,1625511.254542503,48436.74545749696
2571863.0,2535947.651956056,35915.34804394422
2363772.0,2308170.2302978835,55601.76970211649
1790342.0,1726100.949507826,64241.05049217399
2297560.0,2332090.382327956,34530.38232795615
3663717.0,3895197.135432155,231480.13543215487
2752245.0,2814523.6166047836,62278.61660478357
3013694.0,3065193.7564172195,51499.75641721953
2811292.0,2824970.7602403164,13678.760240316391
2508986.0,2420815.9303192887,88170.06968071125
2028895.0,2025013.501043143,3881.4989568570163
